gyrate (nm),Systems
2.29967,Wild
2.29698,Wild
2.28394,Wild
2.29307,Wild
2.30356,Wild
2.31139,Wild
2.30132,Wild
2.29501,Wild
2.29603,Wild
2.28145,Wild
2.3008,Wild
2.29326,Wild
2.29721,Wild
2.28503,Wild
2.27973,Wild
2.30042,Wild
2.29281,Wild
2.30976,Wild
2.30569,Wild
2.28951,Wild
2.28662,Wild
2.29762,Wild
2.29448,Wild
2.28904,Wild
2.2986,Wild
2.28337,Wild
2.29025,Wild
2.2917,Wild
2.28714,Wild
2.29656,Wild
2.28216,Wild
2.28459,Wild
2.2844,Wild
2.29153,Wild
2.28998,Wild
2.28462,Wild
2.29187,Wild
2.28219,Wild
2.27783,Wild
2.27349,Wild
2.27678,Wild
2.26534,Wild
2.26186,Wild
2.26904,Wild
2.27219,Wild
2.25843,Wild
2.25071,Wild
2.24775,Wild
2.2393,Wild
2.25048,Wild
2.2445,Wild
2.25799,Wild
2.24351,Wild
2.23941,Wild
2.24632,Wild
2.23916,Wild
2.25802,Wild
2.25831,Wild
2.24771,Wild
2.23965,Wild
2.25367,Wild
2.25233,Wild
2.26231,Wild
2.26954,Wild
2.2808,Wild
2.26952,Wild
2.28599,Wild
2.28253,Wild
2.28591,Wild
2.2786,Wild
2.28514,Wild
2.28737,Wild
2.28938,Wild
2.29708,Wild
2.30066,Wild
2.28217,Wild
2.28915,Wild
2.28544,Wild
2.27102,Wild
2.27101,Wild
2.27539,Wild
2.27782,Wild
2.27309,Wild
2.25926,Wild
2.28304,Wild
2.27234,Wild
2.26102,Wild
2.2536,Wild
2.27175,Wild
2.26734,Wild
2.29564,Wild
2.27593,Wild
2.26415,Wild
2.26828,Wild
2.27829,Wild
2.28719,Wild
2.28293,Wild
2.27747,Wild
2.28164,Wild
2.2756,Wild
2.26417,Wild
2.27224,Wild
2.26203,Wild
2.27476,Wild
2.26587,Wild
2.27237,Wild
2.27947,Wild
2.27805,Wild
2.2844,Wild
2.27979,Wild
2.29309,Wild
2.28968,Wild
2.2919,Wild
2.29518,Wild
2.29492,Wild
2.30021,Wild
2.29913,Wild
2.30794,Wild
2.30994,Wild
2.30723,Wild
2.2965,Wild
2.29554,Wild
2.2995,Wild
2.31736,Wild
2.29272,Wild
2.29825,Wild
2.28952,Wild
2.30932,Wild
2.3127,Wild
2.30624,Wild
2.3088,Wild
2.30631,Wild
2.31866,Wild
2.31,Wild
2.28825,Wild
2.28348,Wild
2.28726,Wild
2.29981,Wild
2.29971,Wild
2.29742,Wild
2.31348,Wild
2.31748,Wild
2.30764,Wild
2.2963,Wild
2.28773,Wild
2.29415,Wild
2.29856,Wild
2.29441,Wild
2.28394,Wild
2.28464,Wild
2.2991,Wild
2.30037,Wild
2.3029,Wild
2.29951,Wild
2.29074,Wild
2.27278,Wild
2.27599,Wild
2.28107,Wild
2.29419,Wild
2.28982,Wild
2.28999,Wild
2.29613,Wild
2.28724,Wild
2.30483,Wild
2.30507,Wild
2.30072,Wild
2.28856,Wild
2.28803,Wild
2.28833,Wild
2.29692,Wild
2.2759,Wild
2.28519,Wild
2.28366,Wild
2.29453,Wild
