"","V1"
"1137",0.1574018
"1138",0.1589778
"1139",0.1711823
"1140",0.1665005
"1141",0.1842603
"1142",0.1587256
"1143",0.1542005
"1144",0.1478593
"1145",0.1644872
"1146",0.1668268
"1147",0.1760741
"1148",0.182736
"1149",0.2157153
"1150",0.1730971
"1151",0.1710364
"1152",0.1565063
"1153",0.1720595
"1154",0.1795892
"1155",0.185912
"1156",0.1567705
"1157",0.1480581
"1158",0.1577713
"1159",0.1509458
"1160",0.1335383
"1161",0.1565291
"1162",0.144868
"1163",0.1333739
"1164",0.1427215
"1165",0.1427474
"1166",0.1657277
"1167",0.1692879
"1168",0.1583637
"1169",0.1785221
"1170",0.1544916
"1171",0.1426857
"1172",0.1648081
"1173",0.1779499
"1174",0.1840499
"1175",0.119174
"1176",0.1142828
"1177",0.1539568
"1178",0.1314943
"1179",0.1468161
"1180",0.1558689
"1181",0.1795077
"1182",0.1614184
"1183",0.141542
"1184",0.1460359
"1185",0.131077
"1186",0.1578793
"1187",0.2010705
"1188",0.168207
"1189",0.1576487
"1190",0.1567765
"1191",0.1759618
"1192",0.1575542
"1193",0.1663014
"1194",0.1608375
"1195",0.1524028
"1196",0.1356435
"1197",0.1329888
"1198",0.1504371
"1199",0.1377954
"1200",0.134183
"1201",0.1435768
"1202",0.1332572
"1203",0.1361947
"1204",0.1664413
"1205",0.1716098
"1206",0.2105605
"1207",0.2073463
"1208",0.2204516
"1209",0.1896693
"1210",0.1889543
"1211",0.1681951
"1212",0.1704693
"1213",0.1892557
"1214",0.1820635
"1215",0.1610298
"1216",0.1754007
"1217",0.1726789
"1218",0.1637523
"1219",0.1628375
"1220",0.1515065
"1221",0.1694107
"1222",0.193995
"1223",0.1697623
"1224",0.1647762
"1225",0.1650877
"1226",0.1348307
"1227",0.1376515
"1228",0.1836679
"1229",0.187384
"1230",0.1913382
"1231",0.1902508
"1232",0.1519072
"1233",0.1602005
"1234",0.1513619
"1235",0.179975
"1236",0.1489384
"1237",0.1662119
"1238",0.1943581
"1239",0.1593834
"1240",0.145196
"1241",0.1448803
"1242",0.128056
"1243",0.1404999
"1244",0.1336217
"1245",0.1534292
"1246",0.1541943
"1247",0.1460271
"1248",0.1596359
"1249",0.1437543
"1250",0.1390956
"1251",0.1553264
"1252",0.1443429
"1253",0.1659647
"1254",0.1664191
"1255",0.1863058
"1256",0.1790057
"1257",0.1418635
"1258",0.1324757
"1259",0.1467666
"1260",0.1470047
"1261",0.1416736
"1262",0.1336241
"1263",0.140334
"1264",0.1530081
"1265",0.1461967
"1266",0.1570546
"1267",0.1504973
"1268",0.1398387
"1269",0.135503
"1270",0.1274361
"1271",0.1215608
"1272",0.1430656
"1273",0.1380573
"1274",0.1309982
"1275",0.1475989
"1276",0.1367632
"1277",0.1418405
"1278",0.1361258
"1279",0.1416414
"1280",0.1388548
"1281",0.1256262
"1282",0.1222697
"1283",0.1396508
"1284",0.1353976
"1285",0.1414275
"1286",0.1408946
"1287",0.1272506
"1288",0.1227802
"1289",0.1215905
"1290",0.1359257
"1291",0.1346607
"1292",0.1294022
"1293",0.1298746
"1294",0.1465433
"1295",0.1164451
"1296",0.1190149
"1297",0.1200664
"1298",0.1179191
"1299",0.1274039
"1300",0.1212229
"1301",0.1117766
"1302",0.1199427
"1303",0.1322866
"1304",0.138298
"1305",0.124857
"1306",0.1188993
"1307",0.1211136
"1308",0.1355828
"1309",0.1447966
"1310",0.1395124
"1311",0.1400136
"1312",0.1369587
"1313",0.132789
"1314",0.1447629
"1315",0.1428489
"1316",0.1639118
"1317",0.1563633
"1318",0.1522718
"1319",0.1389952
"1320",0.1344451
"1321",0.1208275
"1322",0.1471895
"1323",0.1644958
"1324",0.1677341
"1325",0.149999
"1326",0.1359919
"1327",0.137407
"1328",0.1177204
"1329",0.1249407
"1330",0.1502564
"1331",0.1561758
"1332",0.1828111
"1333",0.1643488
"1334",0.1515707
"1335",0.1383692
"1336",0.1438403
"1337",0.1875151
"1338",0.20396
"1339",0.1883319
"1340",0.177026
"1341",0.1711185
"1342",0.1528406
"1343",0.1696864
"1344",0.1755558
"1345",0.1686459
"1346",0.1890175
"1347",0.1518042
"1348",0.1554714
"1349",0.1352199
"1350",0.1687693
"1351",0.1962453
"1352",0.1752984
"1353",0.1733489
"1354",0.1597223
"1355",0.1870677
"1356",0.1664901
"1357",0.1718022
"1358",0.1799154
"1359",0.16247
"1360",0.1486498
"1361",0.1471613
"1362",0.1439603
"1363",0.1587616
"1364",0.1825087
"1365",0.1945749
"1366",0.171782
"1367",0.1770186
"1368",0.179717
"1369",0.1711675
"1370",0.1760896
"1371",0.1383137
"1372",0.1417301
"1373",0.1321664
"1374",0.1591313
"1375",0.1521046
"1376",0.1455525
"1377",0.1490554
"1378",0.1410414
"1379",0.1492759
"1380",0.1590775
"1381",0.1353115
"1382",0.1545178
"1383",0.1614921
"1384",0.1716975
"1385",0.1727336
"1386",0.1617615
"1387",0.1698089
"1388",0.1853873
"1389",0.2031342
"1390",0.2012509
"1391",0.1787751
"1392",0.17228
"1393",0.1771156
"1394",0.1702981
"1395",0.1572431
"1396",0.1884421
"1397",0.1790578
