rmsd (nm),Systems
0.174402,Wild
0.1716522,Wild
0.1641684,Wild
0.1865435,Wild
0.188961,Wild
0.1832864,Wild
0.1691491,Wild
0.1676197,Wild
0.1645634,Wild
0.1742463,Wild
0.1533207,Wild
0.136865,Wild
0.142216,Wild
0.1714002,Wild
0.1686518,Wild
0.1781691,Wild
0.1736376,Wild
0.1675368,Wild
0.1589086,Wild
0.1763656,Wild
0.1820993,Wild
0.1898942,Wild
0.1953428,Wild
0.1572682,Wild
0.1647115,Wild
0.1567682,Wild
0.154743,Wild
0.1515836,Wild
0.1314439,Wild
0.1286032,Wild
0.1194585,Wild
0.1179214,Wild
0.1338111,Wild
0.1429931,Wild
0.15111,Wild
0.1377741,Wild
0.1378704,Wild
0.1345913,Wild
0.1514035,Wild
0.1584988,Wild
0.1498923,Wild
0.1480622,Wild
0.1304351,Wild
0.1333891,Wild
0.1283213,Wild
0.1479928,Wild
0.1405551,Wild
0.1296763,Wild
0.1469519,Wild
0.1404134,Wild
0.140787,Wild
0.1498431,Wild
0.1465838,Wild
0.1363818,Wild
0.1257542,Wild
0.1278346,Wild
0.1273305,Wild
0.1298604,Wild
0.119682,Wild
0.1259148,Wild
0.1283849,Wild
0.1420115,Wild
0.1563282,Wild
0.1679848,Wild
0.151653,Wild
0.1386791,Wild
0.1359646,Wild
0.132567,Wild
0.1483876,Wild
0.1620147,Wild
0.1652787,Wild
0.1448355,Wild
0.1566115,Wild
0.1376085,Wild
0.1390394,Wild
0.1513044,Wild
0.1293032,Wild
0.1328299,Wild
0.128298,Wild
0.135702,Wild
0.1319043,Wild
0.1490882,Wild
0.1218353,Wild
0.1411291,Wild
0.1626922,Wild
0.1619208,Wild
0.1567612,Wild
0.1472699,Wild
0.1471628,Wild
0.1599971,Wild
0.1497137,Wild
0.1317056,Wild
0.1496701,Wild
0.1590513,Wild
0.1369429,Wild
0.1359526,Wild
0.1466867,Wild
0.1475834,Wild
0.1561627,Wild
0.1370987,Wild
0.166347,Wild
0.1550482,Wild
0.1870939,Wild
0.1923812,Wild
